Sentence,Type
以A為圓心，r為半徑畫圓,Circle
以A為圓心，畫一個圓，半徑為r,Circle
畫一個圓，以A為圓心，r為半徑,Circle
畫一個圓，以r為半徑，A為圓心,Circle
以r為半徑，A為圓心畫圓,Circle
以r為半徑，畫一個圓，圓心為A,Circle
過不共線的三點畫一個圓,Circle
畫一個圓，通過不共線的三點,Circle
以圓A和圓B的交點連線為直徑畫圓,Circle
畫一個圓，直徑為圓A和圓B的交點連線,Circle
以A為圓心，過直線L1和直線L2的交點畫圓,Circle
畫一個圓，圓心為A，並且過兩直線交點,Circle
畫一個圓，過兩直線交點，且圓心為A,Circle
通過兩直線交點，以A點為圓心畫圓,Circle
通過兩直線交點畫一個圓，且圓心為A,Circle
以A為圓心，AC線段為半徑畫圓,Circle
以AC線段為半徑，A為圓心畫圓,Circle
畫一個圓，以A為圓心，AC線段為半徑,Circle
畫一個圓，半徑為AC線段，圓心為A,Circle
畫一個圓，直徑為AB線段,Circle
以AB線段為直徑畫圓,Circle
以兩直線交點為圓心，AB線段為半徑畫圓,Circle
以直線L和直線M的交點為圓心，AB線段為半徑畫圓,Circle
以兩直線交點為圓心，r為半徑畫圓,Circle
以直線L和直線M的交點為圓心，r為半徑畫圓,Circle
以AB線段的中點為圓心，二分之一AB線段長為半徑畫圓,Circle
作三角形ABC的外接圓,Circle
以三角形兩邊中垂線交點為圓心，交點到頂點的距離為半徑畫圓,Circle
請給我一個半徑是r的圓,Circle
"連接A,B兩點作一線段",Segment
畫一線段，端點為AB兩點,Segment
連接兩圓交點作一線段,Segment
畫一線段，端點為兩圓交點,Segment
以圓A和圓B的兩交點連線作一線段,Segment
畫一線段，端點分別為圓A和圓B的兩交點,Segment
連接三角形ABC兩邊中點作一線段,Segment
畫一線段，端點分別為三角形兩邊中點,Segment
連接圓A和圓B的圓心作一線段,Segment
畫一線段，端點分別為圓A和圓B的圓心,Segment
連接圓C和直線L的交點作一線段,Segment
連接直線L和圓C的交點作一線段,Segment
連接拋物線上兩點作一線段,Segment
連接拋物線A和拋物線B兩交點作一線段,Segment
連接拋物線和直線的交點作一線段,Segment
畫一線段，端點為拋物線A和拋物線B的兩交點,Segment
畫一線段，端點為拋物線上兩點,Segment
連接圓上任兩點作一線段,Segment
請給我一條長度為r的線段,Segment
過A點且斜率為m，畫一直線,Line
畫過A點且垂直直線L的直線,Line
畫一直線，過A點且垂直直線L,Line
過兩圓交點畫一直線,Line
畫一直線，過兩圓交點,Line
過圓A和圓B的圓心畫一直線,Line
畫一直線，過圓A和圓B的圓心,Line
過兩圓圓心作一直線,Line
畫一直線，過兩圓圓心,Line
過三角形兩邊中點作一直線,Line
過平面上兩點畫一直線,Line
畫一直線，通過三角形兩邊中點,Line
過拋物線上兩點作一直線,Line
畫一直線，過拋物線上兩點,Line
過拋物線A和拋物線B交點作一直線,Line
畫一直線，過拋物線A和拋物線B的交點,Line
過兩拋物線交點畫一直線,Line
畫一直線，過兩拋物線交點,Line
過拋物線的焦點，且平行準線畫一直線,Line
畫一直線，過拋物線的焦點且平行其準線,Line
畫一條水平線,Line
畫一條鉛直線,Line
請給我一條斜率為m的直線,Line
作線段AB的中垂線,PerpendicularBisector
畫中垂線，線段AB的,PerpendicularBisector
作圓上兩點連線的中垂線,PerpendicularBisector
畫中垂線，圓上兩點連線的,PerpendicularBisector
作圓A和圓B圓心連線的中垂線,PerpendicularBisector
畫中垂線，圓A和圓B的圓心連線的,PerpendicularBisector
作圓A和圓B交點連線的中垂線,PerpendicularBisector
畫中垂線，圓A和圓B交點連線的,PerpendicularBisector
畫中垂線，兩圓交點連線的,PerpendicularBisector
作兩圓圓心連線的中垂線,PerpendicularBisector
畫中垂線，兩圓圓心連線的,PerpendicularBisector
作三角形兩邊中點連線的中垂線,PerpendicularBisector
作拋物線上兩點連線的中垂線,PerpendicularBisector
畫中垂線，拋物線上兩點連線的,PerpendicularBisector
作三角形底邊的中垂線,PerpendicularBisector
做平面上兩點連線的中垂線,PerpendicularBisector
畫中垂線，三角形底邊的,PerpendicularBisector
求AB兩點的中點,Midpoint
求中點，AB兩點的,Midpoint
作AB線段的中點,Midpoint
畫中點，AB線段的,Midpoint
畫中點，兩圓圓心連線的,Midpoint
求兩圓圓心連線的中點,Midpoint
求圓A和圓B的圓心連線的中點,Midpoint
畫中點，圓A和圓B的圓心連線的,Midpoint
求圓C上兩點連線的中點,Midpoint
畫中點，圓C上兩點連線的,Midpoint
作直線L和圓C交點連線的中點,Midpoint
畫中點，直線L和圓C交點連線的,Midpoint
畫中點，圓C和直線L交點連線的,Midpoint
作圓C和直線L交點連線的中點,Midpoint
畫中點，連接兩拋物線交點的,Midpoint
連接兩拋物線交點求其中點,Midpoint
過三個點畫一拋物線,Parabola
以A為焦點，直線L為準線畫一拋物線,Parabola
以A為焦點，畫一拋物線，且準線為直線L,Parabola
畫一拋物線，以A為焦點，直線L為準線,Parabola
畫一拋物線，以直線L為準線，A為焦點,Parabola
以直線L為準線，A為焦點，畫一拋物線,Parabola
以直線L為準線，畫一拋物線，且A為焦點,Parabola
以A為焦點，線段BC的延伸為準線，畫一拋物線,Parabola
以A為焦點，畫一拋物線，且準線為線段BC的延伸,Parabola
畫一拋物線，以A為焦點，準線為線段BC的延伸,Parabola
畫一拋物線，以線段BC的延伸為準線，A為焦點,Parabola
以線段BC的延伸為準線，A為焦點，畫一拋物線,Parabola
以線段BC的延伸為準線，畫一拋物線，且A為焦點,Parabola
以兩直線交點為焦點，直線L為準線畫一拋物線,Parabola
以直線L為準線，畫一拋物線，且以兩直線交點為焦點,Parabola
畫一拋物線，且以兩直線交點為焦點，直線L為準線,Parabola
畫一拋物線，且以直線L為準線，兩直線交點為焦點,Parabola
以兩直線交點為焦點，畫一拋物線，且直線L為準線,Parabola
以直線L為準線，兩直線交點為焦點，畫一拋物線,Parabola
以直線A和直線B的交點為焦點，直線L為準線畫拋物線,Parabola
以A為焦點，AB線段的中垂線為準線畫拋物線,Parabola
以A為焦點，畫一拋物線，且以AB線段的中垂線為準線,Parabola
以AB線段的中垂線為準線，A為焦點，畫一拋物線,Parabola
以AB線段的中垂線為準線，畫一拋物線，且A為焦點,Parabola
畫一拋物線，以A為焦點，AB線段的中垂線為準線,Parabola
畫一拋物線，且以AB線段的中垂線為準線，A為焦點,Parabola
以圓C的圓心為焦點，直線L為準線畫拋物線,Parabola
以直線L為準線，圓C的圓心為焦點畫拋物線,Parabola
過三角形ABC三頂點畫拋物線,Parabola
直線與圓,Otherwise
畫三角形,Otherwise
畫橢圓與三角形,Otherwise
橢圓,Otherwise
這個門是拋物線形狀的,Otherwise
圓形的輪胎,Otherwise
以線段為圓心，三角形為半徑畫圓,Otherwise
兩圓焦點取直徑，畫一線段,Otherwise
直線與線段,Otherwise
直線與拋物線,Otherwise
直線取中點,Otherwise
圓取中點,Otherwise
橢圓取中點,Otherwise
畫橢圓,Otherwise
圓與橢圓,Otherwise
圓與中垂線,Otherwise
兩直線交點為圓心畫一個橢圓,Otherwise
給我一個橢圓的中垂線,Otherwise
圓與拋物線,Otherwise
中點與拋物線,Otherwise
圓，直線與拋物線,Otherwise
三角形三邊取中點連線作另一三角形,Otherwise
拋物線與線段畫圓,Otherwise
畫圓與直線,Otherwise
拋物線射籃,Otherwise
漫畫書,Otherwise
庭院深深深幾許,Otherwise
作品,Otherwise
求神問卜,Otherwise
圓線段直線拋物線中點中垂線,Otherwise